user_id,account_type,region,signup_date,is_active
user_1,Free,North America,2016-09-10,True
user_2,Premium,Oceania,2018-05-03,False
user_3,Premium,Europe,2024-06-30,False
user_4,Enterprise,Oceania,2018-12-08,True
user_5,Premium,North America,2024-10-26,True
user_6,Premium,,2024-11-29,False
user_7,Premium,South America,2015-03-17,False
user_8,Free,South America,2016-04-14,True
user_9,Enterprise,South America,2019-05-04,True
user_10,Enterprise,Asia,2019-05-06,True
user_11,,North America,2021-03-29,False
user_12,Enterprise,,2024-01-28,True
user_13,Enterprise,,2024-07-21,True
user_14,,South America,2024-01-24,False
user_15,,,2017-01-26,False
user_16,Enterprise,Oceania,2016-12-31,True
user_17,Enterprise,Europe,2017-03-20,True
user_18,Premium,Africa,,
user_19,Free,North America,2018-07-29,True
user_20,Free,South America,2020-03-22,True
user_21,Enterprise,Europe,2024-12-05,
user_22,Free,Africa,2016-03-08,True
user_23,Premium,Oceania,2018-07-10,False
user_24,Premium,North America,2017-03-27,True
user_25,Enterprise,North America,2022-03-04,False
user_26,Premium,Oceania,,True
user_27,,Europe,2016-10-30,True
user_28,Free,Asia,2021-07-29,False
user_29,Free,,2022-05-15,True
user_30,Enterprise,Africa,2017-01-12,True
user_31,Premium,Oceania,2017-03-15,True
user_32,Free,South America,2019-04-01,False
user_33,,Africa,2017-10-16,False
user_34,Free,South America,2017-04-10,True
user_35,Enterprise,Africa,2020-03-23,True
user_36,,North America,2016-04-28,False
user_37,Free,,2019-06-26,False
user_38,Free,Africa,2021-05-14,True
user_39,Free,North America,2017-09-22,True
user_40,Free,Europe,2020-04-23,True
user_41,Free,South America,2022-04-20,False
user_42,Premium,Europe,2024-06-09,True
user_43,Premium,Oceania,2019-10-16,
user_44,Free,Oceania,2017-07-12,True
user_45,Free,Oceania,2017-08-02,False
user_46,Premium,Africa,,True
user_47,Premium,Oceania,2020-01-08,False
user_48,Free,Oceania,2017-06-09,True
user_49,Free,Africa,2020-04-02,False
user_50,Free,North America,2019-10-26,True
user_51,Enterprise,South America,2021-02-17,True
user_52,Free,Europe,2015-07-24,True
user_53,Enterprise,Oceania,2019-09-22,False
user_54,Premium,Asia,2017-04-07,False
user_55,Enterprise,North America,2017-01-04,True
user_56,Enterprise,Asia,2016-01-14,
user_57,Premium,South America,2018-10-03,
user_58,Free,Asia,2023-12-07,True
user_59,Enterprise,North America,2022-07-11,False
user_60,Free,Europe,2017-05-01,False
user_61,Free,North America,2016-01-27,False
user_62,Free,Oceania,2015-07-31,True
user_63,Premium,Africa,2023-05-19,False
user_64,Enterprise,Asia,2020-10-28,False
user_65,Enterprise,North America,2016-03-30,True
user_66,,Africa,2021-07-22,True
user_67,Enterprise,,2015-08-10,True
user_68,Enterprise,Oceania,2021-05-29,True
user_69,Free,Asia,2021-09-24,False
user_70,,South America,2015-02-09,False
user_71,Premium,North America,2023-02-05,False
user_72,Free,South America,2024-07-16,
user_73,Enterprise,Oceania,2021-08-28,True
user_74,Premium,Africa,2023-08-04,
user_75,Free,North America,2021-09-08,False
user_76,Premium,South America,2018-08-20,True
user_77,Enterprise,South America,2022-05-03,False
user_78,Enterprise,Europe,,True
user_79,Enterprise,Asia,2016-01-06,True
user_80,Premium,Africa,2021-11-25,True
user_81,Free,Africa,,True
user_82,Free,North America,2021-07-20,False
user_83,Premium,,2019-10-07,False
user_84,,Europe,2017-04-18,False
user_85,,Africa,2022-06-27,False
user_86,Enterprise,,2022-03-31,
user_87,Enterprise,Asia,2022-12-06,False
user_88,Premium,Oceania,2024-06-03,True
user_89,Enterprise,Oceania,2021-08-31,True
user_90,Free,North America,2023-02-17,
user_91,Enterprise,Oceania,2017-08-04,False
user_92,Free,Europe,2018-11-14,True
user_93,Premium,,2018-04-26,True
user_94,Premium,Europe,2021-06-12,True
user_95,Free,Asia,2016-09-19,False
user_96,Premium,Europe,2017-12-22,True
user_97,Free,South America,2020-08-25,True
user_98,Premium,Africa,2016-12-28,False
user_99,Free,Oceania,2015-06-23,True
user_100,Premium,Europe,2022-09-19,False
user_101,Enterprise,South America,,False
user_102,Enterprise,Africa,2024-03-13,True
user_103,Enterprise,Africa,2023-01-05,True
user_104,Premium,Africa,2021-01-03,
user_105,Premium,Europe,2021-09-22,True
user_106,Premium,South America,2015-12-28,False
user_107,Free,Europe,2016-04-07,
user_108,Premium,Asia,2020-09-08,
user_109,Enterprise,Asia,2017-09-09,False
user_110,Premium,Oceania,2024-09-27,True
user_111,Free,South America,2016-10-22,True
user_112,,Asia,,True
user_113,Enterprise,Europe,,False
user_114,Premium,Africa,2022-07-11,False
user_115,Premium,North America,2018-03-29,False
user_116,Enterprise,Asia,2023-03-08,
user_117,Enterprise,South America,2022-06-08,True
user_118,Free,Oceania,2015-01-07,
user_119,Free,North America,,True
user_120,Free,,2015-06-23,
user_121,Enterprise,North America,2018-08-13,True
user_122,Free,Asia,2020-05-23,False
user_123,Enterprise,Europe,2022-06-05,True
user_124,Premium,North America,2020-01-16,True
user_125,Enterprise,Oceania,2024-04-25,True
user_126,Enterprise,Oceania,2024-08-02,False
user_127,Premium,Africa,2024-05-16,False
user_128,Enterprise,Asia,2015-11-27,True
user_129,Free,Europe,2023-06-22,True
user_130,Free,Oceania,2024-09-04,True
user_131,Free,Oceania,2020-04-17,True
user_132,,Europe,2018-07-19,False
user_133,Premium,Asia,2018-08-03,True
user_134,,Oceania,,True
user_135,Premium,Oceania,2019-01-31,False
user_136,Enterprise,Asia,2019-11-16,True
user_137,,Europe,2022-10-13,False
user_138,Free,Asia,2024-08-07,
user_139,Enterprise,Oceania,2019-02-12,False
user_140,,Europe,2022-05-09,True
user_141,Premium,Europe,2020-10-20,True
user_142,Premium,Europe,2024-08-11,True
user_143,Premium,Africa,2017-04-15,False
user_144,Enterprise,Europe,,True
user_145,,,2015-05-21,False
user_146,Free,Oceania,2015-01-26,False
user_147,Premium,,2015-06-23,
user_148,Premium,Europe,2021-08-19,False
user_149,Free,South America,2016-12-20,False
user_150,Premium,North America,2022-06-24,
user_151,Free,,2022-04-15,True
user_152,,North America,2018-12-03,False
user_153,Premium,North America,2021-12-26,True
user_154,,South America,2015-01-28,False
user_155,Premium,North America,2018-02-20,True
user_156,Premium,Oceania,2016-12-23,True
user_157,Premium,Oceania,,False
user_158,,Europe,2022-12-22,False
user_159,Free,Africa,2016-03-10,True
user_160,Enterprise,Asia,2017-08-21,True
user_161,Enterprise,Africa,2015-06-30,False
user_162,Enterprise,Oceania,2021-05-17,True
user_163,Enterprise,,2022-05-13,False
user_164,Premium,Oceania,2022-04-12,True
user_165,Premium,,2022-10-29,False
user_166,,,2016-03-23,True
user_167,Enterprise,Asia,2022-01-27,True
user_168,Free,Oceania,,True
user_169,Premium,,2017-06-23,False
user_170,Free,Asia,2019-12-27,False
user_171,Free,North America,2022-03-10,
user_172,Enterprise,South America,2020-09-06,False
user_173,Premium,Africa,2019-01-29,False
user_174,Free,North America,2015-11-01,False
user_175,Free,Oceania,2019-04-02,True
user_176,Enterprise,Europe,2019-07-05,False
user_177,,,2019-05-09,False
user_178,Free,Europe,2015-06-01,True
user_179,Enterprise,Asia,2022-03-06,False
user_180,Free,Europe,2023-07-01,True
user_181,Free,Asia,2016-08-19,True
user_182,Enterprise,Africa,2019-05-25,False
user_183,Free,Africa,2016-02-28,
user_184,Enterprise,North America,2022-04-23,True
user_185,Premium,Asia,2020-01-18,True
user_186,Free,South America,2022-01-16,True
user_187,Enterprise,Africa,2016-02-07,
user_188,Enterprise,Europe,2019-12-23,True
user_189,Free,South America,2015-09-22,True
user_190,Free,North America,,True
user_191,Enterprise,Africa,2020-06-26,
user_192,Enterprise,Africa,2020-03-27,True
user_193,Free,North America,2019-06-22,True
user_194,Enterprise,North America,2023-02-02,True
user_195,Premium,Europe,2015-07-06,True
user_196,Enterprise,Africa,2022-05-18,False
user_197,Premium,South America,2015-05-28,False
user_198,Free,North America,2024-08-09,False
user_199,Premium,Oceania,2018-08-08,
user_200,Free,South America,2016-05-30,False
user_201,Premium,South America,2017-09-13,True
user_202,,Europe,2024-06-30,False
user_203,Enterprise,Africa,2017-05-18,True
user_204,Premium,Europe,2021-03-31,False
user_205,Premium,South America,2024-10-29,False
user_206,Premium,South America,2017-04-27,True
user_207,Enterprise,South America,2022-02-22,True
user_208,Free,Africa,2022-04-26,True
user_209,Free,,2015-04-01,
user_210,Free,Oceania,2022-03-13,True
user_211,Enterprise,North America,2021-06-23,False
user_212,,South America,2019-03-08,
user_213,Premium,North America,2024-09-08,True
user_214,Free,South America,2020-07-24,False
user_215,Free,Europe,2023-05-26,True
user_216,Premium,Africa,2024-03-29,
user_217,Premium,South America,2018-03-28,True
user_218,Premium,,2015-08-14,False
user_219,Enterprise,Oceania,2019-08-17,True
user_220,Free,Oceania,2018-03-18,True
user_221,Enterprise,South America,2018-01-03,False
user_222,,Africa,2024-04-01,False
user_223,Premium,Africa,2015-03-14,
user_224,Free,Africa,2021-06-04,False
user_225,Enterprise,North America,2024-07-02,True
user_226,Free,Europe,2015-03-16,False
user_227,Premium,,2023-11-05,False
